data,size,algo,buildtime,querytime,params,recall
pca96v2,10M,Learned-index,6905.245049715042,348.40621519088745,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=112-model=MLP-2-buck=2-861336.elixir-pbs.elixir-czech.cz,0.78466
pca96v2,10M,Learned-index,25356.951913833618,935.3521826267242,learned-index-pca96v2-10M-ep=195-lr=0.009-cat=110-model=MLP-3-buck=5-859406.elixir-pbs.elixir-czech.cz,0.93381
pca96v2,10M,Learned-index,7499.7580099105835,375.71742010116577,learned-index-pca96v2-10M-ep=50-lr=0.1-cat=118-model=MLP-3-buck=2-861371.elixir-pbs.elixir-czech.cz,0.78454
pca96v2,10M,Learned-index,9898.027599811554,908.1650023460388,learned-index-pca96v2-10M-ep=55-lr=0.11-cat=110-model=MLP-8-buck=5-861687.elixir-pbs.elixir-czech.cz,0.90793
pca96v2,10M,Learned-index,25722.044559955597,254.83977103233337,learned-index-pca96v2-10M-ep=200-lr=0.009-cat=120-model=MLP-2-buck=1-859387.elixir-pbs.elixir-czech.cz,0.6781
pca96v2,10M,Learned-index,5170.855522155762,388.3569564819336,learned-index-pca96v2-10M-ep=50-lr=0.09-cat=112-model=MLP-8-buck=2-861248.elixir-pbs.elixir-czech.cz,0.79846
pca96v2,10M,Learned-index,30076.577772140503,433.3277418613434,learned-index-pca96v2-10M-ep=211-lr=0.007-cat=121-model=MLP-8-buck=2-862277.elixir-pbs.elixir-czech.cz,0.81496
pca96v2,10M,Learned-index,6886.839009284973,367.3524649143219,learned-index-pca96v2-10M-ep=50-lr=0.11-cat=114-model=MLP-2-buck=2-861561.elixir-pbs.elixir-czech.cz,0.77421
pca96v2,10M,Learned-index,29979.495522499084,673.2600243091583,learned-index-pca96v2-10M-ep=220-lr=0.009-cat=114-model=MLP-buck=3-859368.elixir-pbs.elixir-czech.cz,0.88094
pca96v2,10M,Learned-index,6222.650843858719,667.1508815288544,learned-index-pca96v2-10M-ep=45-lr=0.11-cat=122-model=MLP-3-buck=4-861581.elixir-pbs.elixir-czech.cz,0.88307
pca96v2,10M,Learned-index,6932.364455461502,563.9117531776428,learned-index-pca96v2-10M-ep=50-lr=0.1-cat=110-model=MLP-5-buck=3-861415.elixir-pbs.elixir-czech.cz,0.85353
pca96v2,10M,Learned-index,6206.685076475143,354.1969268321991,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=118-model=MLP-8-buck=2-861459.elixir-pbs.elixir-czech.cz,0.78057
pca96v2,10M,Learned-index,21096.12930083275,510.51428151130676,learned-index-pca96v2-10M-ep=208-lr=0.008-cat=121-model=MLP-5-buck=3-862358.elixir-pbs.elixir-czech.cz,0.87939
pca96v2,10M,Learned-index,8635.23009634018,484.65646290779114,learned-index-pca96v2-10M-ep=45-lr=0.09-cat=122-model=MLP-buck=2-861101.elixir-pbs.elixir-czech.cz,0.79448
pca96v2,10M,Learned-index,29880.189148426056,514.5160274505615,learned-index-pca96v2-10M-ep=209-lr=0.009-cat=122-model=MLP-2-buck=3-862452.elixir-pbs.elixir-czech.cz,0.88046
pca96v2,10M,Learned-index,12577.545189619064,721.1791529655457,learned-index-pca96v2-10M-ep=100-lr=0.05-cat=50-model=MLP-3-buck=2-853995.elixir-pbs.elixir-czech.cz,0.85475
pca96v2,10M,Learned-index,31925.28317308426,532.0756778717041,learned-index-pca96v2-10M-ep=220-lr=0.009-cat=124-model=MLP-3-buck=3-859437.elixir-pbs.elixir-czech.cz,0.87703
pca96v2,10M,Learned-index,6256.50059056282,349.7673134803772,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=118-model=MLP-6-buck=2-861483.elixir-pbs.elixir-czech.cz,0.78057
pca96v2,10M,Learned-index,13602.078128099442,565.3721237182617,learned-index-pca96v2-10M-ep=100-lr=0.01-cat=120-model=MLP-5-buck=3-854915.elixir-pbs.elixir-czech.cz,0.88084
pca96v2,10M,Learned-index,29205.71983408928,618.0858705043793,learned-index-pca96v2-10M-ep=205-lr=0.007-cat=123-model=MLP-7-buck=3-862231.elixir-pbs.elixir-czech.cz,0.87115
pca96v2,10M,Learned-index,30431.664967775345,456.5708808898926,learned-index-pca96v2-10M-ep=209-lr=0.009-cat=122-model=MLP-4-buck=3-862488.elixir-pbs.elixir-czech.cz,0.88046
